# Total: 352 exercises
id,name,primaryMuscle,secondaryMuscles,movementPattern,angle,equipment,difficultyLevel,exerciseType
preacher-curl,Preacher Curl,Biceps,Forearms,isolation_pull,incline,barbell,beginner,free_weights_accessories
pull-up,Pull-Up,Lats,Upper Back | Biceps,vertical_pull,overhead,bodyweight,intermediate,bodyweight_only
push-press,Push Press,Shoulders,Triceps | Traps | Quads,vertical_push,overhead,barbell,intermediate,barbell
push-up,Push-Up,Chest,Front Delts | Triceps | Core,horizontal_push,flat,bodyweight,beginner,bodyweight_only
rack-deadlift,Rack Deadlift,Lower Back,Glutes | Hamstrings | Traps,hip_hinge,none,barbell,intermediate,barbell
rear-delt-raise,Rear Delt Raise,Rear Delts,Upper Back | Rhomboids,isolation_pull,prone,dumbbell,beginner,free_weights_accessories
recumbent-bike,Recumbent Bike,Cardio,Quads | Hamstrings | Glutes,cardio,none,machine,beginner,machine
reverse-cable-flye,Reverse Cable Flye,Rear Delts,Rhomboids | Traps,horizontal_pull,flat,cable,beginner,machine
reverse-crunch,Reverse Crunch,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
reverse-curl,Reverse Curl,Forearms,Biceps | Brachialis,isolation_pull,none,barbell,beginner,barbell
reverse-grip-bench-press,Reverse Grip Bench Press,Upper Chest,Triceps | Front Delts,horizontal_push,flat,barbell,advanced,barbell
reverse-grip-lat-pulldown,Reverse Grip Lat Pulldown,Lats,Biceps | Upper Back,vertical_pull,overhead,cable,beginner,machine
reverse-grip-pushdown,Reverse Grip Tricep Pushdown,Triceps,Forearms,isolation_push,none,cable,beginner,machine
reverse-hyperextension,Reverse Hyperextension,Glutes,Hamstrings | Lower Back,hip_hinge,prone,machine,intermediate,machine
reverse-nordic-curl,Reverse Nordic Curl,Quads,Hip Flexors,squat,none,bodyweight,advanced,bodyweight_only
reverse-pec-deck,Reverse Pec Deck,Rear Delts,Upper Back | Rhomboids,isolation_pull,prone,machine,beginner,machine
ring-dip,Ring Dip,Triceps,Chest | Shoulders,vertical_push,decline,bodyweight,advanced,bodyweight_only
romanian-deadlift,Romanian Deadlift,Hamstrings,Glutes | Lower Back,hip_hinge,none,barbell,intermediate,barbell
rope-pushdown,Rope Pushdown,Triceps,Forearms,isolation_push,none,cable,beginner,machine
rowing-machine,Rowing Machine,Back,Hamstrings | Core | Shoulders,cardio,none,machine,beginner,machine
russian-twist,Russian Twist,Core,Obliques | Hip Flexors,core_rotational,none,bodyweight,beginner,bodyweight_only
safety-bar-squat,Safety Bar Squat,Quads,Glutes | Upper Back,squat,none,barbell,intermediate,barbell
scissor-kicks,Scissor Kicks,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
seated-cable-row,Seated Cable Row,Upper Back,Lats | Biceps | Rear Delts,horizontal_pull,flat,cable,beginner,machine
seated-calf-raise,Seated Calf Raise,Calves,,isolation_legs,none,machine,beginner,machine
seated-dumbbell-calf-raise,Seated Dumbbell Calf Raise,Calves,,isolation_legs,none,dumbbell,beginner,free_weights_accessories
seated-dumbbell-curl,Seated Dumbbell Curl,Biceps,Forearms,isolation_pull,none,dumbbell,beginner,free_weights_accessories
seated-dumbbell-lateral-raise,Seated Dumbbell Lateral Raise,Side Delts,Traps,isolation_push,none,dumbbell,beginner,free_weights_accessories
seated-good-morning,Seated Good Morning,Hamstrings,Lower Back | Glutes,hip_hinge,none,barbell,intermediate,barbell
seated-leg-curl,Seated Leg Curl,Hamstrings,Calves,isolation_legs,none,machine,beginner,machine
shoulder-press,Shoulder Press,Shoulders,Triceps,vertical_push,overhead,machine,beginner,machine
side-plank,Side Plank,Core,Glutes,core_anterior,none,bodyweight,beginner,bodyweight_only
single-arm-cable-row,Single-Arm Cable Row,Upper Back,Lats | Biceps,horizontal_pull,flat,cable,beginner,machine
single-arm-dumbbell-press,Single-Arm Dumbbell Press,Chest,Triceps | Core,horizontal_push,flat,dumbbell,intermediate,free_weights_accessories
single-arm-lat-pulldown,Single-Arm Lat Pulldown,Lats,Biceps,vertical_pull,overhead,cable,beginner,machine
single-arm-tricep-extension,Single-Arm Overhead Tricep Extension,Triceps,Forearms,isolation_push,none,dumbbell,beginner,free_weights_accessories
single-leg-calf-raise,Single-Leg Calf Raise,Calves,,isolation_legs,none,bodyweight,beginner,bodyweight_only
single-leg-curl,Single-Leg Curl,Hamstrings,Calves,isolation_legs,prone,machine,beginner,machine
single-leg-glute-bridge,Single-Leg Glute Bridge,Glutes,Hamstrings | Core,hip_hinge,none,bodyweight,intermediate,bodyweight_only
single-leg-leg-press,Single-Leg Leg Press,Quads,Glutes | Hamstrings,squat,none,machine,intermediate,machine
single-leg-romanian-deadlift,Single-Leg Romanian Deadlift,Hamstrings,Glutes | Core,hip_hinge,none,dumbbell,intermediate,free_weights_accessories
sissy-squat,Sissy Squat,Quads,Hip Flexors,squat,none,bodyweight,intermediate,bodyweight_only
sit-up,Sit-Up,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
ski-erg,Ski Erg,Back,Core | Shoulders | Lats,cardio,none,machine,intermediate,machine
sled-pull,Sled Pull,Hamstrings,Glutes | Back,cardio,none,none,intermediate,bodyweight_only
sled-push,Sled Push,Quads,Glutes | Core,cardio,none,none,intermediate,bodyweight_only
smith-machine-bench-press,Smith Machine Bench Press,Chest,Front Delts | Triceps,horizontal_push,flat,smith_machine,beginner,machine
smith-machine-incline-press,Smith Machine Incline Press,Upper Chest,Front Delts | Triceps,horizontal_push,incline,smith_machine,beginner,machine
smith-machine-overhead-press,Smith Machine Overhead Press,Shoulders,Triceps,vertical_push,overhead,smith_machine,beginner,machine
smith-machine-squat,Smith Machine Squat,Quads,Glutes | Hamstrings,squat,none,smith_machine,beginner,machine
snatch-barbell,Snatch,Hamstrings,Shoulders | Glutes | Core,hip_hinge,overhead,barbell,advanced,barbell
spider-curl,Spider Curl,Biceps,Forearms,isolation_pull,incline,dumbbell,beginner,free_weights_accessories
split-squat,Split Squat,Quads,Glutes | Hamstrings,lunge,none,bodyweight,beginner,bodyweight_only
stair-climber,Stair Climber,Glutes,Quads | Calves,cardio,none,machine,beginner,machine
standing-calf-raise,Standing Calf Raise,Calves,,isolation_legs,none,machine,beginner,machine
standing-leg-curl,Standing Leg Curl,Hamstrings,Calves,isolation_legs,none,machine,beginner,machine
stationary-bike,Stationary Bike,Quads,Glutes | Calves,cardio,none,machine,beginner,machine
step-up,Step-Up,Quads,Glutes,lunge,none,dumbbell,beginner,free_weights_accessories
stiff-leg-deadlift,Stiff-Leg Deadlift,Hamstrings,Lower Back | Glutes,hip_hinge,none,barbell,intermediate,barbell
straight-arm-lat-pulldown-cable,Straight Arm Lat Pulldown (Cable),Lats,Core | Rear Delts,vertical_pull,overhead,cable,intermediate,machine
straight-arm-lat-pulldown-rope,Straight Arm Lat Pulldown (Rope),Lats,Core | Rear Delts,vertical_pull,overhead,cable,intermediate,machine
suitcase-carry,Suitcase Carry,Core,Traps | Glutes,carry,none,dumbbell,intermediate,free_weights_accessories
sumo-deadlift,Sumo Deadlift,Hamstrings,Glutes | Inner Thigh | Traps,hip_hinge,none,barbell,advanced,barbell
sumo-deadlift-high-pull,Sumo Deadlift High Pull,Hamstrings,Traps | Shoulders | Glutes,hip_hinge,none,barbell,advanced,barbell
sumo-squat,Sumo Squat,Quads,Glutes | Inner Thigh,squat,none,dumbbell,beginner,free_weights_accessories
superman,Superman,Lower Back,Glutes | Hamstrings,hip_hinge,prone,bodyweight,beginner,bodyweight_only
svend-press,Svend Press,Chest,Front Delts,isolation_push,flat,none,beginner,free_weights_accessories
swimming,Swimming,Cardio,Lats | Shoulders | Core | Legs,cardio,none,none,beginner,freestyle_cardio
tate-press,Tate Press,Triceps,Forearms,isolation_push,flat,dumbbell,intermediate,free_weights_accessories
thruster,Thruster,Quads,Shoulders | Glutes | Core,squat,overhead,barbell,advanced,barbell
tibia-raise,Tibia Raise,Calves,,isolation_legs,none,bodyweight,beginner,bodyweight_only
toes-to-bar,Toes-to-Bar,Abs / Core,Hip Flexors | Lats,core_anterior,none,bodyweight,advanced,bodyweight_only
trap-bar-deadlift,Trap Bar Deadlift,Hamstrings,Glutes | Traps | Quads,hip_hinge,none,barbell,intermediate,barbell
treadmill-run,Treadmill Run,Quads,Calves | Glutes,cardio,none,machine,beginner,machine
tricep-dip,Tricep Dip,Triceps,Chest | Shoulders,vertical_push,decline,bodyweight,intermediate,bodyweight_only
tricep-pushdown,Tricep Pushdown,Triceps,Forearms,isolation_push,none,cable,beginner,machine
turkish-get-up,Turkish Get-Up,Shoulders,Core | Glutes | Hips,carry,none,kettlebell,advanced,free_weights_accessories
v-bar-pushdown,V-Bar Pushdown,Triceps,Forearms,isolation_push,none,cable,beginner,machine
v-up,V-Up,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,intermediate,bodyweight_only
walking-lunge,Walking Lunge,Quads,Glutes | Hamstrings,lunge,none,dumbbell,beginner,free_weights_accessories
wall-angels,Wall Angels,Shoulders,Rotator Cuff | Upper Back | Thoracic Spine,isolation_push,flat,bodyweight,beginner,bodyweight_only
wall-ball,Wall Ball,Quads,Shoulders | Glutes | Core,squat,overhead,none,intermediate,free_weights_accessories
wall-sit,Wall Sit,Quads,Glutes | Hamstrings,squat,none,bodyweight,beginner,bodyweight_only
wall-squat,Wall Squat,Quads,Glutes | Hamstrings,squat,none,bodyweight,beginner,bodyweight_only
weighted-back-extension,Weighted Back Extension,Lower Back,Glutes | Hamstrings,hip_hinge,prone,bodyweight,intermediate,bodyweight_weighted
box-jump-weighted,Weighted Box Jump,Quads,Glutes | Calves,squat,none,dumbbell,advanced,free_weights_accessories
weighted-chest-dip,Weighted Chest Dip,Chest,Triceps | Front Delts,vertical_push,decline,bodyweight,advanced,bodyweight_weighted
weighted-chin-up,Weighted Chin-Up,Lats,Biceps | Upper Back,vertical_pull,overhead,bodyweight,advanced,bodyweight_weighted
weighted-crunch,Weighted Crunch,Abs,Obliques,core_anterior,none,dumbbell,intermediate,bodyweight_weighted
weighted-dip,Weighted Dip,Chest,Triceps | Front Delts,vertical_push,decline,bodyweight,advanced,bodyweight_weighted
weighted-plank,Weighted Plank,Core,Glutes | Shoulders,core_anterior,none,bodyweight,intermediate,bodyweight_weighted
weighted-pull-up,Weighted Pull-Up,Lats,Upper Back | Biceps | Forearms,vertical_pull,overhead,bodyweight,intermediate,bodyweight_weighted
weighted-push-up,Weighted Push-Up,Chest,Front Delts | Triceps | Core,horizontal_push,flat,bodyweight,intermediate,bodyweight_weighted
weighted-wall-sit,Weighted Wall Sit,Quads,Glutes | Hamstrings,squat,none,bodyweight,intermediate,bodyweight_weighted
wide-grip-cable-row,Wide-Grip Cable Row,Upper Back,Rear Delts | Lats,horizontal_pull,flat,cable,beginner,machine
wide-grip-pull-up,Wide-Grip Pull-Up,Lats,Upper Back | Rear Delts,vertical_pull,overhead,bodyweight,intermediate,bodyweight_only
windshield-wiper,Windshield Wiper,Obliques,Abs / Core,core_rotational,none,bodyweight,advanced,bodyweight_only
woodchop,Woodchop,Core,Shoulders,core_rotational,none,cable,beginner,machine
wrist-curl,Wrist Curl,Forearms,Biceps,isolation_pull,none,dumbbell,beginner,free_weights_accessories
wrist-extension,Wrist Extension,Forearms,,isolation_pull,none,dumbbell,beginner,free_weights_accessories
wrist-roller,Wrist Roller,Forearms,,isolation_pull,none,none,beginner,free_weights_accessories
yoke-carry,Yoke Carry,Traps,Glutes | Core | Quads,carry,none,none,advanced,machine
z-press,Z-Press,Shoulders,Core | Triceps,vertical_push,overhead,barbell,advanced,barbell
zercher-squat,Zercher Squat,Quads,Glutes | Core | Upper Back,squat,none,barbell,advanced,barbell
zone-2-running,Zone 2 Running,Cardio,Quads | Calves | Glutes,cardio,none,none,beginner,freestyle_cardio
zottman-curl,Zottman Curl,Biceps,Forearms | Brachialis,isolation_pull,none,dumbbell,intermediate,free_weights_accessories
